Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m,Papel,Payout_Medio,Empresa_Base,PL_Medio_Subsetor
ON NM,CRUZEIRO EDU ON NM,Diversos,Serviços Educacionais,5.72,2025-10-24,2.59,5.75,2146570,2085180000,2711540000.0,2025-06-30,364543000,10.36,135,409.0,78.0,45.0,766.0,-98.0,3.7,352.0,531.0,10.9,0.55,4.23,49.8,19.0,7.5,11.0,13.0,13.1,138.0,83.0,58.0,4659040000,,,1542860000,,,201363000,,,62663000,655979000,994728000,1282340000,626359000,2680520000,510396000,721094000,127440000,CSED3,38.48,CSED,9.43
ON,COPASA MG ON,Água e Saneamento,Água e Saneamento,37.53,2025-10-24,19.00,37.53,89729100,14270900000,20057800000.0,2025-06-30,380253000,10.51,169,652.0,176.0,86.0,1460.0,-261.0,4.7,656.0,917.0,10.2,3.57,22.15,42.6,27.0,16.8,13.2,14.4,16.1,157.0,81.0,49.0,16581900000,,,8421330000,,,1358150000,,,289441000,1032960000,2683800000,6819840000,5786880000,8093780000,2188010000,1979820000,496891000,CSMG3,49.41,CSMG,6.97
ON NM,CURY S/A ON NM,Construção Civil,Incorporações,33.6,2025-10-24,16.19,33.96,69437800,9807000000,9579240000.0,2025-06-30,291875000,12.47,737,863.0,211.0,189.0,623.0,-1635.0,4.6,818.0,843.0,32.9,2.69,4.56,39.1,24.4,18.7,21.9,33.8,59.1,210.0,98.0,90.0,5183960000,,,1329970000,,,786561000,,,236731000,1530880000,3005750000,1303110000,-227763000,4653630000,1136960000,1346600000,343627000,CURY3,57.46,CURY,7.39
PN,CYRELA BRAZIL REALTY PN,Construção Civil,Incorporações,30.13,2025-10-24,15.59,30.74,145201000,11569900000,15192500000.0,2025-06-30,384000000,6.87,118,763.0,135.0,49.0,125.0,1682.0,3.5,941.0,1001.0,17.6,4.39,25.48,32.6,17.7,16.4,6.5,7.6,17.2,336.0,70.0,37.0,23414800000,,,9786080000,,,1685170000,,,387807000,3267090000,13227800000,6889690000,3622590000,8595790000,1517180000,2107130000,337235000,CYRE3,24.02,CYRE,7.39
ON NM,DESKTOPSIGMA ON NM,Telecomunicações,Telecomunicações,15.2,2025-10-24,7.72,15.90,8002260,1761790000,2882950000.0,2025-06-30,115907000,21.95,127,534.0,150.0,44.0,382.0,-108.0,0.2,507.0,873.0,28.8,0.69,11.96,61.7,28.2,7.5,8.3,10.2,5.8,193.0,129.0,29.0,3994970000,,,1386660000,,,80267000,,,15414000,666010000,953692000,1787170000,1121160000,1172540000,330185000,297407000,80945000,DESK3,4.41,DESK,16.78
ON NM,Direcional Engenharia ON NM,Construção Civil,Incorporações,16.15,2025-10-24,7.67,16.17,67426500,8406070000,8397100000.0,2025-06-30,520500000,12.18,381,968.0,222.0,73.0,243.0,-219.0,6.7,892.0,967.0,22.0,1.33,4.23,37.8,22.9,21.1,7.5,9.4,31.3,293.0,96.0,33.0,11566900000,,,2203630000,,,690183000,,,183742000,2124580000,5250820000,2115600000,-8977150,3794150000,868786000,1065210000,256734000,DIRR3,81.36,DIRR,7.39
ON,DEXCO ON,Madeira e Papel,Madeira,5.25,2025-10-24,4.97,8.51,13469300,4307970000,9458610000.0,2025-06-30,820566000,22.38,063,815.0,52.0,24.0,481.0,-71.0,1.0,525.0,1790.0,1.0,0.23,8.3,25.3,6.3,2.5,2.9,3.5,2.8,122.0,97.0,46.0,17988500000,,,6806910000,,,192518000,,,31717000,1461500000,4911420000,6612140000,5150640000,8327470000,528525000,2121660000,93508000,DXCO3,22.83,DXCO,22.38
ON NM,ECORODOVIAS ON NM,Transporte,Exploração de Rodovias,7.93,2025-10-24,3.85,8.39,31527200,5521930000,25452800000.0,2025-06-30,696334000,7.31,146,147.0,53.0,17.0,-341.0,-23.0,3.9,516.0,676.0,28.2,1.08,5.43,39.4,35.9,7.1,11.5,12.8,20.0,72.0,606.0,32.0,32690900000,,,3777960000,,,755265000,,,203943000,2981530000,4228480000,22912400000,19930900000,10476300000,3765430000,2718140000,1001090000,ECOR3,28.64,ECOR,11.1
ON,ELETROBRÁS ON,Energia Elétrica,Energia Elétrica,54.15,2025-10-24,31.24,54.93,399944000,125012000000,165465000000.0,2025-06-30,2308630000,18.85,105,835.0,286.0,45.0,539.0,-118.0,6.5,860.0,1105.0,8.9,2.87,51.42,45.2,34.3,15.2,5.4,6.2,5.6,186.0,59.0,16.0,274960000000,,,118707000000,,,6631620000,,,-1325110000,29837100000,49985200000,70289900000,40452700000,43681100000,14969700000,10199000000,3629960000,ELET3,122.64,ELET,8.56
PNB,ELETROBRÁS PNB,Energia Elétrica,Energia Elétrica,57.37,2025-10-24,35.41,57.83,70982500,132446000000,172899000000.0,2025-06-30,2308630000,19.97,112,885.0,303.0,48.0,572.0,-125.0,6.7,899.0,1155.0,8.9,2.87,51.42,45.2,34.3,15.2,5.4,6.2,5.6,186.0,59.0,16.0,274960000000,,,118707000000,,,6631620000,,,-1325110000,29837100000,49985200000,70289900000,40452700000,43681100000,14969700000,10199000000,3629960000,ELET6,133.93,ELET,8.56
ON,EMBRAER ON,Material de Transporte,Material Aeronáutico e de Defesa,86.38,2025-10-24,48.42,86.38,385544000,63961400000,69133100000.0,2025-06-30,740465000,29.91,352,1450.0,161.0,97.0,729.0,-602.0,0.1,1181.0,1567.0,13.0,2.89,24.57,18.6,11.1,5.3,6.7,8.4,11.8,133.0,66.0,60.0,65886600000,,,18191200000,,,2138160000,,,448777000,6862620000,35566800000,12034300000,5171720000,39804500000,4412470000,10270400000,1196360000,EMBR3,2.99,EMBR,29.91
UNT N2,ENERGISA UNT N2,Energia Elétrica,Energia Elétrica,51.98,2025-10-24,33.28,51.98,122137000,23800900000,52897500000.0,2025-06-30,2289420000,6.97,131,361.0,68.0,30.0,712.0,-62.0,5.6,617.0,803.0,10.2,7.46,39.81,25.1,18.8,12.4,8.3,9.7,18.7,123.0,207.0,44.0,79416800000,,,18226900000,,,3414850000,,,257292000,8717610000,17857200000,37814300000,29096700000,35112200000,6586860000,8563870000,1715970000,ENGI11,39.02,ENGI1,8.56
ON NM,EQUATORIAL ENERGIA S.A. ON NM,Energia Elétrica,Energia Elétrica,37.1,2025-10-24,25.68,37.33,273516000,46579200000,92283000000.0,2025-06-30,1255510000,12.75,166,447.0,94.0,40.0,949.0,-78.0,2.1,713.0,886.0,26.3,2.91,22.3,27.5,21.1,9.1,8.9,10.2,13.1,124.0,197.0,42.0,116701000000,,,27995100000,,,3653520000,,,1073600000,9408180000,25128800000,55112000000,45703800000,49485800000,10420800000,12795300000,2871800000,EQTL3,26.77,EQTL,8.56
ON NM,EZTec ON NM,Construção Civil,Incorporações,16.83,2025-10-24,10.20,17.54,19814700,3719250000,4057190000.0,2025-06-30,220989000,7.54,074,1045.0,223.0,53.0,133.0,308.0,8.2,1095.0,1140.0,12.8,2.23,22.7,37.8,21.4,31.3,5.1,6.1,9.8,937.0,31.0,24.0,7031120000,,,5016000000,,,493241000,,,139907000,1193770000,3134470000,1531710000,337944000,1665930000,355835000,449254000,100375000,EZTC3,61.89,EZTC,7.39
PN,FERBASA PN,Siderurgia e Metalurgia,Siderurgia,6.79,2025-10-24,6.01,8.11,3317320,2398060000,1723890000.0,2025-06-30,353175000,8.8,071,1364.0,100.0,56.0,188.0,269.0,7.4,380.0,981.0,1.4,0.77,9.54,17.4,7.3,11.4,4.1,5.5,8.1,346.0,9.0,56.0,4276430000,,,3369260000,,,272489000,,,18616000,971918000,1797890000,297751000,-674167000,2394480000,175754000,639441000,34225000,FESA4,65.25,FESA,8.8
ON NM,UNIFIQUE ON NM,Telecomunicações,Telecomunicações,4.61,2025-10-24,3.15,4.64,1445990,1669050000,1904460000.0,2025-06-30,362050000,9.37,132,629.0,155.0,72.0,843.0,-345.0,5.8,372.0,718.0,23.2,0.49,3.5,50.9,24.6,16.5,11.5,13.7,14.1,156.0,44.0,47.0,2304200000,,,1265580000,,,178136000,,,45168000,317212000,554638000,552619000,235407000,1076870000,265358000,286142000,73438000,FIQE3,54.57,FIQE,16.78
ON NM,FLEURY ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,14.45,2025-10-24,10.45,16.26,57499400,7906910000,11186500000.0,2025-06-30,547191000,13.04,147,671.0,101.0,60.0,301.0,-245.0,6.9,556.0,949.0,23.4,1.11,9.83,26.9,15.0,7.4,9.0,11.4,11.3,251.0,100.0,60.0,13072400000,,,5379100000,,,606212000,,,152299000,2084610000,4368090000,5364210000,3279600000,7841620000,1178380000,2024530000,307605000,FLRY3,89.82,FLRY,12.05
ON,FRAS-LE S.A. ON,Material de Transporte,Material Rodoviário,23.0,2025-10-24,19.57,29.24,8314930,6447710000,8377630000.0,2025-06-30,280335000,19.17,295,921.0,133.0,97.0,367.0,-517.0,2.6,908.0,1197.0,18.5,1.2,7.79,33.4,14.5,7.1,10.5,13.3,15.4,224.0,123.0,73.0,6637150000,,,2183560000,,,336269000,,,48317000,750162000,3172890000,2680090000,1929930000,4836110000,700004000,1360140000,179296000,FRAS3,49.83,FRAS,12.47
ON NM,GPS ON NM,Serviços Diversos,Serviços Diversos,18.82,2025-10-24,12.43,19.34,39215300,12746400000,15000900000.0,2025-06-30,677281000,19.62,341,980.0,77.0,90.0,304.0,-408.0,1.7,862.0,1154.0,27.3,0.96,5.52,14.5,7.8,4.0,9.1,11.7,17.4,233.0,133.0,117.0,14217100000,,,3737480000,,,649641000,,,121699000,2699320000,7341600000,4953750000,2254430000,16611900000,1300100000,4298370000,348033000,GGPS3,33.33,GGPS,35.03
ON NM,GRUPO MATEUS ON NM,Comércio e Distribuição,Alimentos,6.31,2025-10-24,5.75,8.15,28702700,14187800000,15275600000.0,2025-06-30,2248470000,10.03,139,602.0,42.0,70.0,210.0,805.0,3.8,557.0,648.0,24.6,0.63,4.54,22.9,6.9,4.2,11.6,14.7,13.8,234.0,21.0,168.0,20393500000,,,10217400000,,,1414300000,,,343597000,1027780000,11817600000,2115520000,1087740000,34175000000,2356080000,8779640000,594546000,GMAT3,38.06,GMAT,11.06
ON,GRENDENE SA ON,"Tecidos, Vestuário e Calçados",Calçados,5.25,2025-10-24,4.52,5.50,17206300,4736340000,3412920000.0,2025-06-30,902160000,5.84,118,1037.0,174.0,106.0,190.0,191.0,11.1,640.0,747.0,2.9,0.9,4.46,47.4,16.7,29.7,10.3,15.4,20.2,697.0,2.0,61.0,4456300000,,,4019470000,,,810837000,,,143575000,1409820000,2912340000,86407000,-1323420000,2728010000,456788000,555276000,4320010,GRND3,64.75,GRND,13.73
ON,GUARARAPES CONFECÇÕES ON,Comércio,"Tecidos, Vestuário e Calçados",9.91,2025-10-24,5.59,10.20,10514700,4947070000,5719650000.0,2025-06-30,499200000,12.02,090,521.0,49.0,37.0,180.0,1167.0,1.2,346.0,603.0,10.0,0.82,11.07,59.9,9.3,4.0,7.0,8.5,7.4,148.0,36.0,75.0,13546400000,,,5527430000,,,411676000,,,143210000,1200090000,8442820000,1972670000,772574000,10166300000,949114000,2635360000,274499000,GUAR3,14.5,GUAR,10.26
ON,Helbor ON,Construção Civil,Incorporações,3.57,2025-10-24,1.25,3.79,6489040,477848000,2007810000.0,2025-06-30,133851000,9.51,033,246.0,39.0,7.0,26.0,-103.0,2.8,934.0,1032.0,7.7,0.38,10.92,33.6,15.7,12.5,3.0,3.2,3.4,231.0,119.0,19.0,6462800000,,,1461370000,,,50236000,,,1645000,210416000,3179780000,1740380000,1529960000,1237270000,194476000,285556000,32202000,HBOR3,26.31,HBOR,7.39
ON NM,HBR REALTY ON NM,Exploração de Imóveis,Exploração de Imóveis,4.42,2025-10-24,2.61,5.09,2306070,456095000,1911200000.0,2025-06-30,103189000,20.87,023,157.0,234.0,9.0,174.0,-26.0,0.0,644.0,657.0,23.9,0.21,19.45,68.5,149.0,54.6,5.6,5.8,1.1,187.0,82.0,4.0,5204730000,,,2006510000,,,21857000,,,-33058000,190278000,563356000,1645380000,1455100000,195127000,290804000,63997000,21706000,HBRE3,0.0,HBRE,14.56
ON,HYPERA ON,Comércio e Distribuição,Medicamentos e Outros Produtos,23.67,2025-10-24,16.02,27.85,54591500,14993100000,22633400000.0,2025-06-30,633421000,20.19,125,1599.0,225.0,62.0,1277.0,-226.0,4.9,1827.0,2414.0,8.3,1.17,18.93,56.1,14.1,11.0,3.9,4.1,6.2,126.0,74.0,27.0,24237600000,,,11991900000,,,742678000,,,426689000,1203610000,5611930000,8843920000,7640310000,6661740000,937598000,2153940000,631251000,HYPE3,99.13,HYPE,15.19
UNT N1,IGUATEMI S.A UNT N1,Exploração de Imóveis,Exploração de Imóveis,24.41,2025-10-24,16.08,24.57,50805000,7243140000,9624960000.0,2025-06-30,2077100000,12.96,160,900.0,531.0,74.0,350.0,-306.0,1.6,1000.0,1196.0,16.2,1.88,15.21,72.1,59.0,41.0,8.3,10.1,12.4,367.0,91.0,14.0,9727390000,,,4514230000,,,558918000,,,209094000,1711020000,2844080000,4092840000,2381820000,1364410000,804895000,393982000,256199000,IGTI11,20.77,IGTI1,14.56
ON NM,INTELBRAS ON NM,Computadores e Equipamentos,Computadores e Equipamentos,11.83,2025-10-24,10.90,19.72,23797000,3875640000,4023350000.0,2025-06-30,327611000,8.52,126,812.0,82.0,74.0,162.0,239.0,4.1,686.0,843.0,13.7,1.39,9.39,29.3,10.2,9.7,9.2,12.8,14.8,279.0,32.0,90.0,5211770000,,,3076450000,,,454916000,,,136547000,837635000,3734050000,985348000,147713000,4699270000,477289000,1246450000,130537000,INTB3,34.89,INTB,8.52
ON NM,IRBBRASIL RE ON NM,Previdência e Seguros,Seguradoras,48.39,2025-10-24,37.49,57.08,30917300,3960380000,,2025-06-30,81843000,6.43,076,489.0,67.0,25.0,,,0.0,,,224.0,7.52,63.63,0.6,13.7,10.4,5.1,,11.8,,,38.0,15788600000,,,5207670000,,,615477000,,,106562000,0,0,0,0,5923850000,810446000,1303450000,189151000,IRBR3,0.0,IRBR,8.09
PN,ISA ENERGIA PN,Energia Elétrica,Energia Elétrica,24.53,2025-10-24,20.70,24.95,51951300,16162400000,28444200000.0,2025-06-30,658883000,4.98,078,388.0,198.0,37.0,294.0,-100.0,9.6,677.0,683.0,17.1,4.93,31.27,39.3,51.0,40.4,9.5,9.9,15.8,595.0,68.0,19.0,43946700000,,,20602000000,,,3247310000,,,215173000,1830260000,6605420000,14112100000,12281800000,8170740000,4163430000,1432870000,271597000,ISAE4,47.77,ISAE,8.56
ON N1,ITAÚSA ON N1,Intermediários Financeiros,Bancos,11.3,2025-10-24,7.99,11.57,1360930,124230000000,128341000000.0,2025-06-30,10993800000,8.0,139,39817.0,1492.0,109.0,1907.0,-1763.0,8.7,8046.0,41135.0,1.0,1.41,8.15,25.3,3.7,188.1,0.3,0.3,17.3,200.0,13.0,7.0,114124000000,,,89574000000,,,15521000000,,,4066000000,7323000000,13025000000,11434000000,4111000000,8328000000,312000000,2121000000,39000000,ITSA3,69.72,ITSA,8.69
PN N1,ITAÚSA PN N1,Intermediários Financeiros,Bancos,11.28,2025-10-24,7.78,11.47,224243000,124010000000,128121000000.0,2025-06-30,10993800000,7.99,138,39747.0,1489.0,109.0,1904.0,-1760.0,8.7,8033.0,41065.0,1.0,1.41,8.15,25.3,3.7,188.1,0.3,0.3,17.3,200.0,13.0,7.0,114124000000,,,89574000000,,,15521000000,,,4066000000,7323000000,13025000000,11434000000,4111000000,8328000000,312000000,2121000000,39000000,ITSA4,69.6,ITSA,8.69
ON N1,ITAUUNIBANCO ON N1,Intermediários Financeiros,Bancos,33.97,2025-10-24,22.37,34.65,19522100,366351000000,,2025-06-30,10784500000,8.83,182,,,,,,7.7,,,92.4,3.85,18.62,,,0.0,0.0,,20.7,,,,479673000000,164704000000,97489000000,200814000000,8537000000,12573000000,41495000000,2928000000,3117000000,11375000000,,,,,,,,,ITUB3,67.94,ITUB,8.69
PN N1,ITAUUNIBANCO PN N1,Intermediários Financeiros,Bancos,38.03,2025-10-24,25.50,39.07,676115000,410136000000,,2025-06-30,10784500000,9.88,204,,,,,,6.9,,,92.4,3.85,18.62,,,0.0,0.0,,20.7,,,,479673000000,164704000000,97489000000,200814000000,8537000000,12573000000,41495000000,2928000000,3117000000,11375000000,,,,,,,,,ITUB4,68.16,ITUB,8.69
ON,IGUATEMI S.A ON,Exploração de Imóveis,Exploração de Imóveis,29.02,2021-11-19,21.43,36.68,7666510,3395950000,5334030000.0,2021-09-30,117021000,20.27,193,1296.0,467.0,47.0,234.0,-168.0,0.3,1283.0,2035.0,1.0,1.43,15.06,52.8,36.0,46.3,3.6,4.6,9.5,531.0,194.0,10.0,7251830000,,,1762140000,,,167568000,,,-62917000,1479620000,1785670000,3417690000,1938080000,727631000,262091000,209921000,82763000,JPSA3,6.09,JPSA,14.56
ON NM,JULIO SIMOES ON NM,Transporte,Transporte Rodoviário,5.41,2025-10-24,5.05,7.88,3599600,1549590000,8175090000.0,2025-06-30,286431000,12.93,085,147.0,16.0,13.0,69.0,-26.0,7.8,467.0,775.0,185.9,0.42,6.35,16.3,11.0,1.3,8.6,10.0,6.6,199.0,441.0,78.0,12229000000,,,1819290000,,,119835000,,,21400000,1393970000,4527230000,8019470000,6625500000,9545020000,1054620000,2381760000,258474000,JSLG3,100.47,JSLG,10.67
ON,KEPLER WEBER SA ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,7.52,2025-10-24,6.81,9.79,8776170,1351490000,1336980000.0,2025-06-30,179720000,9.01,185,626.0,86.0,89.0,271.0,644.0,9.5,526.0,619.0,11.5,0.83,4.06,26.8,13.8,9.6,14.1,20.2,20.6,198.0,47.0,103.0,1526020000,,,728883000,,,149971000,,,14396000,358239000,1007160000,343720000,-14519000,1567450000,215820000,311073000,23224000,KEPL3,86.07,KEPL,9.01
UNT N2,KLABIN UNT N2,Madeira e Papel,Papel e Celulose,17.96,2025-10-24,17.30,23.05,97873800,22197400000,50082800000.0,2025-06-30,6179680000,10.62,218,450.0,109.0,37.0,278.0,-70.0,6.0,528.0,1015.0,7.8,1.69,8.25,38.6,24.2,11.3,8.2,10.2,20.5,211.0,353.0,34.0,60335200000,,,10192500000,,,2089590000,,,572066000,8082750000,15144900000,35968200000,27885400000,20372700000,4936440000,5247200000,1367260000,KLBN11,63.76,KLBN1,8.57
ON N2,KLABIN ON N2,Madeira e Papel,Papel e Celulose,3.61,2025-10-24,3.49,4.84,2303500,22308700000,50194100000.0,2025-06-30,6179680000,10.68,219,452.0,110.0,37.0,280.0,-70.0,6.0,529.0,1017.0,7.8,0.34,1.65,38.6,24.2,11.3,8.2,10.2,20.5,211.0,353.0,34.0,60335200000,,,10192500000,,,2089590000,,,572066000,8082750000,15144900000,35968200000,27885400000,20372700000,4936440000,5247200000,1367260000,KLBN3,63.71,KLBN,8.57
PN N2,KLABIN PN N2,Madeira e Papel,Papel e Celulose,3.61,2025-10-24,3.44,4.55,11022000,22308700000,50194100000.0,2025-06-30,6179680000,10.68,219,452.0,110.0,37.0,280.0,-70.0,6.0,529.0,1017.0,7.8,0.34,1.65,38.6,24.2,11.3,8.2,10.2,20.5,211.0,353.0,34.0,60335200000,,,10192500000,,,2089590000,,,572066000,8082750000,15144900000,35968200000,27885400000,20372700000,4936440000,5247200000,1367260000,KLBN4,63.71,KLBN,8.57
ON NM,LAVVI ON NM,Construção Civil,Incorporações,14.23,2025-10-24,6.60,15.47,8659700,2781030000,2839270000.0,2025-06-30,195434000,6.75,178,677.0,156.0,73.0,133.0,339.0,7.7,689.0,691.0,32.1,2.11,8.0,34.9,23.0,26.6,10.7,13.8,26.4,384.0,54.0,47.0,3827980000,,,1563360000,,,412007000,,,118591000,790791000,2833340000,849037000,58246000,1785470000,411004000,481894000,114850000,LAVV3,51.93,LAVV,7.39
ON,MAHLE METAL LEVE ON,Automóveis e Motocicletas,Automóveis e Motocicletas,28.36,2025-10-24,24.55,32.77,7486360,3843890000,5024960000.0,2025-06-30,135539000,7.15,520,461.0,75.0,103.0,669.0,-552.0,9.3,527.0,602.0,11.2,3.97,5.45,27.0,16.3,10.5,22.4,31.4,72.8,133.0,188.0,137.0,3732400000,,,739079000,,,537776000,,,126743000,208873000,2295130000,1389950000,1181070000,5104230000,834511000,1369160000,223082000,LEVE3,66.44,LEVE,6.6
ON,LIGHT SA ON,Energia Elétrica,Energia Elétrica,5.07,2025-10-24,3.69,7.30,6775540,1888860000,8349770000.0,2025-06-30,372555000,0.78,034,128.0,13.0,7.0,224.0,-13.0,0.0,349.0,567.0,0.4,6.5,15.0,17.1,9.8,16.1,5.6,7.1,43.3,115.0,172.0,57.0,26154600000,,,5588970000,,,2420530000,,,-51444000,3176380000,6482630000,9637290000,6460910000,15030800000,1473000000,3456410000,170456000,LIGT3,0.0,LIGT,8.56
ON NM,LOG COM PROP ON NM,Exploração de Imóveis,Exploração de Imóveis,23.0,2025-10-24,16.17,23.81,6524060,2020760000,4111000000.0,2025-06-30,87859000,5.47,054,1222.0,881.0,28.0,324.0,-107.0,9.5,2389.0,2486.0,11.3,4.21,42.57,97.7,72.1,161.6,2.3,2.4,9.9,170.0,63.0,3.0,7166960000,,,3740220000,,,369632000,,,86958000,280694000,1512560000,2370930000,2090240000,229293000,165364000,61466000,44422000,LOGG3,51.9,LOGG,14.56
ON,RENNER ON,Comércio,"Tecidos, Vestuário e Calçados",14.8,2025-10-24,10.45,19.27,226585000,15685600000,14485400000.0,2025-06-30,1059840000,11.47,152,457.0,102.0,84.0,335.0,613.0,5.3,307.0,422.0,12.4,1.29,9.72,61.2,22.2,8.9,18.3,22.0,13.3,174.0,6.0,82.0,18735300000,,,10300500000,,,1367960000,,,404496000,1790790000,10994600000,590597000,-1200190000,15432900000,3433590000,4167570000,1011030000,LREN3,60.81,LREN,10.26
ON NM,LOCAWEB ON NM,Programas e Serviços,Programas e Serviços,4.02,2025-10-24,2.55,4.61,15180200,2275320000,2011550000.0,2025-06-30,565999000,75.8,083,1652.0,159.0,59.0,1046.0,2504.0,3.1,733.0,1460.0,22.2,0.05,4.87,47.6,9.6,2.1,3.6,4.0,1.1,123.0,3.0,37.0,3831460000,,,2754100000,,,30018000,,,15808000,345238000,1168230000,81473000,-263765000,1433130000,137748000,370776000,38201000,LWSA3,249.24,LWSA,32.82
ON NM,MATER DEI ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,4.22,2025-10-24,3.42,4.95,1013340,1407580000,2157350000.0,2025-06-30,333549000,10.84,097,431.0,67.0,32.0,139.0,-104.0,1.8,496.0,661.0,16.5,0.39,4.35,29.1,15.5,6.5,7.5,9.1,8.9,309.0,96.0,48.0,4338670000,,,1451790000,,,129810000,,,26235000,638213000,1499520000,1387990000,749777000,2102980000,326621000,545807000,96569000,MATD3,19.48,MATD,12.05
ON NM,MARFRIG ON NM,Alimentos Processados,Carnes e Derivados,15.03,2025-10-24,11.07,24.60,235238000,21607800000,64671000000.0,2025-06-30,1437640000,7.63,762,347.0,14.0,16.0,223.0,-33.0,23.0,474.0,1038.0,20.0,1.97,1.97,12.8,3.9,2.4,4.5,6.7,99.9,122.0,2330.0,116.0,137817000000,,,2834440000,,,2830550000,,,85223000,22976800000,53153900000,66040000000,43063200000,159308000000,6228990000,38692000000,1225940000,MBRF3,175.48,MBRF,7.8
ON NM,M.DIASBRANCO ON NM,Alimentos Processados,Alimentos Diversos,29.48,2025-10-24,18.79,29.59,16348900,9993720000,9710830000.0,2025-06-30,339000000,17.03,123,1115.0,102.0,79.0,296.0,742.0,2.4,754.0,1084.0,8.2,1.73,24.01,32.8,9.1,6.0,7.1,9.6,7.2,233.0,23.0,77.0,12704200000,,,8140170000,,,586880000,,,216382000,2154430000,5910530000,1871540000,-282887000,9824750000,896029000,2723400000,294207000,MDIA3,40.9,MDIA,14.32
ON NM,MOURA DUBEUX ON NM,Construção Civil,Incorporações,26.79,2025-10-24,9.90,29.93,18971200,2274710000,2456410000.0,2025-06-30,84909000,7.0,135,622.0,115.0,50.0,163.0,-398.0,4.6,650.0,672.0,30.8,3.83,19.91,33.0,18.5,16.5,8.0,9.1,19.2,254.0,29.0,43.0,4576480000,,,1690840000,,,324960000,,,120552000,316610000,2307960000,498306000,181696000,1973360000,365588000,664934000,135379000,MDNE3,32.18,MDNE,7.39
ON NM,MELNICK ON NM,Construção Civil,Incorporações,3.82,2025-10-24,2.45,4.18,2684330,787949000,828295000.0,2025-06-30,206269000,6.7,074,550.0,65.0,30.0,65.0,141.0,30.7,563.0,578.0,15.8,0.57,5.19,25.2,11.9,15.7,5.5,6.7,11.0,265.0,41.0,46.0,2596780000,,,1069820000,,,117517000,,,39192000,398683000,1938030000,439029000,40346000,1206190000,143280000,337970000,50810000,MELK3,205.74,MELK,7.39
ON NM,MAGAZ LUIZA ON NM,Comércio,Eletrodomésticos,8.08,2025-10-24,5.64,11.45,241666000,5971080000,10065000000.0,2025-06-30,738995000,15.49,054,331.0,16.0,16.0,139.0,-90.0,3.8,321.0,557.0,2.0,0.52,15.0,30.7,4.7,1.0,4.9,7.1,3.5,129.0,56.0,104.0,36913600000,,,11085100000,,,385596000,,,-24356000,2113620000,19219400000,6207500000,4093880000,38312500000,1805940000,9134670000,425520000,MGLU3,59.05,MGLU,15.49
ON NM,MILLS ON NM,Diversos,Aluguel de carros,12.5,2025-10-24,8.00,12.70,11835300,2927230000,4169200000.0,2025-06-30,234178000,9.71,191,487.0,171.0,77.0,437.0,-285.0,4.1,491.0,694.0,29.0,1.29,6.54,63.2,35.0,17.6,15.9,19.4,19.7,221.0,115.0,45.0,3784200000,,,1530490000,,,301398000,,,87232000,519216000,1224850000,1761190000,1241970000,1714530000,600879000,450060000,160753000,MILS3,39.73,MILS,13.51
ON,MOTIVA SA ON,Transporte,Exploração de Rodovias,15.35,2025-10-24,9.81,15.35,113942000,31007000000,63293700000.0,2025-06-30,2020000000,14.89,211,524.0,147.0,48.0,641.0,-79.0,3.2,832.0,1069.0,14.6,1.03,7.28,38.3,28.1,10.1,9.2,10.4,14.2,188.0,265.0,33.0,64512000000,,,14702500000,,,2082160000,,,897243000,6678890000,10346800000,38965600000,32286700000,21060700000,5922530000,4662280000,1541920000,MOTV3,47.69,MOTV,11.1
ON NM,MOVIDA ON NM,Diversos,Aluguel de carros,7.91,2025-10-24,3.33,9.30,29929600,2752130000,18800600000.0,2025-06-30,347931000,9.61,104,86.0,19.0,9.0,-124.0,-14.0,2.3,344.0,588.0,34.3,0.82,7.61,30.9,22.4,2.0,10.7,14.6,10.8,77.0,736.0,48.0,29775600000,,,2648980000,,,286460000,,,67596000,3439080000,7615070000,19487600000,16048500000,14271300000,3196330000,3679000000,841175000,MOVI3,22.19,MOVI,13.51
